"Street Number Name Direction","Address - City","Address - ZIP","ML_Number","Status","APN","Selling Date","Pending Date","Listing Date","DOM","Listing Price","Selling Price","Selling_Price_Per_Sqft","Year Built","Square Footage","Bedrooms","Bathrooms","Lot Size - Sq Ft","Parking Desc","Pool Type","Solar Owned/Leased Display","RESICONA","Property Subtype","Patio","Stories","Marketing Remarks","Street Full Address","Disclosures Desc","Inactive Date","Owned Solar Type Display","Primary_Picture_Url","Elementary School Desc","Jr High School Desc","Sr High School Desc","School District Desc","Association"
"5225 Sierra Caves Ave","Bakersfield","93313","202210452","S","49834402","01/04/23","12/05/22","09/19/22","58","349900.00","340,000","234.16","1996","1452","3","2","6534","2 Car Garage","NONE","None","4000.00","SNGF","CVRD","1","Lovely Home in Silver Creek with 3 bedrooms, 2 baths + 2 car garage. Gracious interior features include; laundry room, window coverings, new interior paint, vaulted ceilings, stained cabinetry, new neutral carpet & hand-set ceramic tile flooring throughout. You'll find open-concept living with a well-appointed kitchen to include; clean white hand-set tile countertops & backsplash, SS micro hood w/gas range, breakfast counter w/sink and dishwasher, lots of food prep areas, dining space and adjacent greatroom w/cozy fireplace and built-in media center and sliding glass doors to the covered patio. An owner's retreat includes ensuite w/dual vanities, tiled counters and stall shower. Exterior appointments include a 2 car garage, mature front and rear landscape; the rear yard is complete with meandering walkways, grassy spaces and concrete boarders for outdoor living and relaxation!","5225 Sierra Caves Ave, Bakersfield, CA 93313-4550","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/09/19/c70d548f-b602-414a-bbc8-1e82f06a26ba.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7916 Cold Creek Ct","Bakersfield","93313","202201566","S","49805104","03/28/22","02/22/22","02/17/22","5","370000.00","370,000","222.62","1989","1662","4","2.50","5227","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","Beautiful 2 story home in Silver Creek. Pride of ownership shines through on this one owner home. Home features 4 bedrooms with the master bedroom being downstairs, 2.5 bathrooms. Large living room, spacious kitchen all in a move-in ready home. Large covered patio for summer entertaining, backyard is nicely landscaped and front yard has low irrigation landscaping. Shed in backyard stays as a bonus to the new owner. Come take a look today!","7916 Cold Creek Ct, Bakersfield, CA 93313-4113","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/02/17/863a5c43-28a3-47e0-b424-20c31c97c8c8.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"5129 Silver Crossing St","Bakersfield","93313","202201571","S","49807213","03/31/22","02/18/22","02/16/22","2","324900.00","362,000","217.81","1991","1662","3","2.50","5227","2 Car Garage","NONE","PPA","0.00","SNGF","CVRD,SLAB","2","Time to start packing - this 3 bed, 3 bath, approx 1,662 sqft home is ready for new owners! Pride in ownership from first glance, beautiful curb appeal. Featuring new laminate flooring, architectural details, and vaulted ceilings. With formal dining and living rooms, entertaining will be a breeze. The kitchen offers ample cabinetry and storage. The great room offers a stately fireplace and access to the backyard. The generous owner's suite includes a private bathroom with enclosed shower and dual vanities. 2 additional bedrooms and common area storage round out the upstairs. Large indoor utlities will take the hassle out of laundry! The backyard features mature, easy-to-care for landscaping. This great home won't last - call for your private showing today!","5129 Silver Crossing St, Bakersfield, CA 93313-4127","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/02/16/6ae22e62-ecf7-4425-99e3-1c7208e29acd.jpg","Suburu, Donald","Stonecreek","Independence","","MLS"
"5311 Sierra Caves Ave","Bakersfield","93313","202211037","S","49835310","11/15/22","10/17/22","10/06/22","11","350000.00","345,000","237.60","1997","1452","3","2","6534","2 Car Garage","NONE","None","0.00","SNGF","","1","Gorgeous Silver Creek Home! With an open concept kitchen, living and dining this home is perfect for a small family who loves entertaining! Boasting an oversized master and with tub and shower and the perfect sized back yard for barbecues this home is going to fly! Come see it today!!!","5311 Sierra Caves Ave, Bakersfield, CA 93313-4562","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/10/06/78804995-0472-4549-aa4d-44f340bee2a5.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6001 Quaking Aspen St","Bakersfield","93313","202200759","S","49810111","03/24/22","03/22/22","01/23/22","58","390900.00","430,000","194.13","1992","2215","4","3","11325","2 Car Garage","NONE","Leased","0.00","SNGF","CVRD","2","Exquisite home located in the Silver Creek neighborhood of southwest Bakersfield. Upon entering you are welcomed by the warm neutral colors displayed throughout the home. Boasting an inviting sitting area, open dining room, immediately leading into the family room. The gorgeous kitchen is sure to please any culinary enthusiast. This home features 4 spacious bedrooms, 3 full bathrooms. Sliding glass doors welcome you to a stunning patio and very large back yard perfect for entertaining. Plenty of space for festivities on this quarter acre lot.. On top of all the amazing amenities this home has to offer it also comes with a leased solar panel system. You won't want to miss the opportunity to own this gem so call your preferred realtor today and schedule a private tour.","6001 Quaking Aspen St, Bakersfield, CA 93313-4174","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/02/03/0f2ecb29-8b90-494f-a968-16a841e102e8.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7920 Silver Birch Ave","Bakersfield","93313","202211315","S","49804112","11/21/22","10/19/22","10/13/22","6","379000.00","391,000","229.59","1988","1703","3","2.50","6534","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","Darling home in the desirable Silver Creek! Sitting on a corner lot, this 3 bedroom, 2.5 bathroom home has laminate flooring and Brand NEW carpet! The Kitchen is sleek and modern with beautiful white cabinets and stunning backsplash. Bathrooms are modern as well with solid surface counter tops and white cabinets! Enjoy your evenings BBQ'ing in the  spacious backyard followed by an evening hanging out on the upper deck! Come check it out  today!","7920 Silver Birch Ave, Bakersfield, CA 93313-4142","Call Listing Agent,Relocation,Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/10/13/709a35b3-ad3e-448c-af22-1b012a27ef53.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5318 clover mountain St","Bakersfield","93313","202206161","S","49830309","07/22/22","06/09/22","06/03/22","6","375000.00","375,000","251.17","1994","1493","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","","1","Welcome to this adorable home with plenty to offer!  As soon as you enter into the home you'll be greeted by the vaulted ceilings and the natural light coming through the large tinted windows. This home is complete with a living room, spacious great room, a double-sided fireplace, whole house fan, and a peaceful backyard.  There is a trellised patio in the back, a large shade tree in the front yard, and a swamp cooler in the garage for your comfort. This home would be perfect for a first-time home buyer or any family.  Call your favorite Realtor today to schedule a tour!","5318 clover mountain St, Bakersfield, CA 93313-4507","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/06/03/3571bff7-9a19-4a4d-96e3-fdb85800ef3f.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6907 Wild Rogue Ct","Bakersfield","93313","202205680","S","49847209","08/29/22","08/15/22","05/24/22","83","409000.00","409,000","192.38","1998","2126","4","2","13503","1 Car Garage","NONE","None","0.00","SNGF","CVRD","1","This home is in the desirable Silver Creek neighborhood. Located in a cul-de-sac on a large lot with room enough for a pool and within walking distance to park. Amenities include 4 bedrooms, 2 baths, split wing, 2 separate living areas, covered patio, RV parking. Please see agent remarks. Contact agent regarding garage conversion.","6907 Wild Rogue Ct, Bakersfield, CA 93313-4581","Call Listing Agent","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/24/32ddd429-955e-4271-915c-7debcfead5b9.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7424 Stone Breakers Ave","Bakersfield","93313","202204839","S","49825302","03/25/22","02/23/22","02/23/22","0","340000.00","340,000","223.10","1993","1524","4","2","4356","2 Car Garage","COMM","None","0.00","SNGF","","1","","7424 Stone Breakers Ave, Bakersfield, CA 93313-4370","Comp Only","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/06/f3d2382f-b81e-41f7-adf1-ba460c30a91b.jpg","Suburu, Donald","Other-Outlying","Independence","","MLS"
"6605 Hazelnut Ct","Bakersfield","93313","202203016","S","49814218","06/03/22","05/05/22","05/03/22","2","330000.00","345,000","243.99","1989","1414","3","2","6098","2 Car Garage","NONE","None","500.00","SNGF","CVRD","1","Beautiful Silver Creek home located in a quiet cul-de-sac! This property features 3-bed, 2-bath, large open floor plan with high vaulted ceilings and plenty of natural lighting throughout. The formal living room offers a beautiful brick fireplace, perfect to entertain family and friends. The full kitchen features tile countertops, lightly stained cabinetry, white appliances and a large pantry. Oversized master bedroom with private access to the patio, large walk-in closet and a full bathroom with extended tile countertops and dual vanities. Great sized bedrooms and indoor laundry room with extra storage space and access to the patio. The exterior offers a cozy covered patio perfect to relax, 2-car garage and much more! Do not wait to come and take a look at this property that will not last long! Call today to schedule your private showing!","6605 Hazelnut Ct, Bakersfield, CA 93313-4184","Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/03/aa595cda-8005-4953-af0d-1a398c04efaf.jpg","Suburu, Donald","Thompson, F. L.","Independence","","MLS"
"8005 Cold Creek Ct","Bakersfield","93313","202204398","S","37022112","08/11/22","08/01/22","04/27/22","80","299000.00","296,000","","1989","","3","2","5227","2 Car Garage","NONE","None","0.00","SNGF","","1","Look no further, here is your opportunity! This well-designed home features 3 bedrooms and 2 bathrooms.","8005 Cold Creek Ct, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/19/f4b30f37-2bac-4f03-bf65-15dc9f57ee80.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"7904 Silver Birch Ave","Bakersfield","93313","202212594","S","49804116","12/13/22","12/13/22","11/28/22","15","369000.00","360,000","224.16","1989","1606","3","2","6098","2 Car Garage","NONE","None","495.00","SNGF","","1","Spacious move in ready 3 bedroom 2 bath home featuring tile roof, dual pane windows, and recently serviced AC. You will fall in love with the completely updated kitchen featuring new cabinets, new sink, new lighting fixtures, new faucet, new hardware, stainless steel appliances and sparkling quartz grand island overlooking the dinning and living room area. The rest of the home offers new luxury water proof flooring, new baseboards, new light fixtures, new fans, new electrical outlets, new light switches, new blinds and fresh paint throughout. Both bathrooms have been updated as well and offer new custom tile showers, new vanities, and mirrors. The master bedroom has large walk in closet and new french door that leads to rear and lets in tons of natural lighting. Home also offers , automatic sprinklers in front/back, indoor utilities, finished garage with insulated door, and ALARM with CAMERA that can be transferred to new owner or removed.","7904 Silver Birch Ave, Bakersfield, CA 93313-4142","Corp. Owned","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/11/28/d4e1101a-7812-4336-9a7f-45b73c3473f9.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"8005 Rushing River Ct","Bakersfield","93313","202204047","S","49808119","05/20/22","04/25/22","04/21/22","4","399000.00","400,000","275.86","1990","1450","3","2","5662","2 Car Garage","INGR","Owned","0.00","SNGF","","1","Turnkey property with OWNED SOLAR in the popular Silver Creek Neighborhood. This 3 bedroom 2 bath has new stainless steel appliances in the kitchen. The property has lush landscaping with a beautiful newly remolded pool, perfect for Bakersfield's HOT summers. This property has new fencing and much more, don't miss out on the one... call your favorite Realtor for showings","8005 Rushing River Ct, Bakersfield, CA 93313-4195","CC&Rs","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/22/94ed8f24-8052-4c48-a0f8-0cd2b8239d9d.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5107 Mill Wheel Dr","Bakersfield","93313","202203860","S","49832202","07/18/22","06/16/22","04/14/22","52","345000.00","340,000","252.23","2003","1348","3","2","4356","2 Car Garage","COMM","None","1547.00","SNGF","CVRD,SLAB","1","Charming SW home! Single story 3 bedroom, 2 (full) bathsa true GEM in the Silver Creek area. Hosting a generous open floor plan creates spacious living. Newer wood laminate & tile floors for clean & easy upkeep. 2'' wood like blinds throughout. Nice & easily maintained landscaping. Garage shelving and attic storage. Community pool and playground. Within a few blocks of schools, parks & shopping. This Move-In-Ready home is a must see!","5107 Mill Wheel Dr, Bakersfield, CA 93313-4555","HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/12/c64a9e1b-6ddb-43d9-99c3-6f5727edc286.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6402 Boggy Meadow Ln","Bakersfield","93313","202300434","S","49866207","02/23/23","01/24/23","01/16/23","8","350000.00","375,000","233.64","2000","1605","3","2","10018","2 Car Garage","NONE","None","0.00","SNGF","UNCV,SLAB","1","Charming Silver Creek Home with 3 bedrooms plus office on a HUGE lot! Clean & Cozy with timely updates including new HVAC system installed in 2019. Spacious, open floor plan with vaulted ceilings and tile flooring throughout as well as a freshly painted interior and newer carpet in bedrooms. Office is currently being used as a formal living room and could potentially be converted into a bedroom if needed. Located in the heart of Southwest Bakersfield close to shopping, dining, and schools. Come take a look today!","6402 Boggy Meadow Ln, Bakersfield, CA 93313-4985","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/01/17/fe9a0f90-e3d3-4a1b-b937-8f75e933f860.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
